league;season;team;game;date;time;round;day;venue;result;GF;GA;opponent;xG;xGA;Poss;Attendance;Captain;Formation;Opp Formation;Referee;match_report;Notes
;2122;Arminia;2021-08-07 SpVgg Bayreuth-Arminia;2021-08-07 00:00:00;15:30:00;Round of 64;Sat;Away;W;6;3;SpVgg Bayreuth;;;54;5000;Manuel Prietl;4-4-2◆;4-2-3-1;Robert Hartmann;/en/matches/45601f5d/SpVgg-Bayreuth-Arminia-August-7-2021-DFB-Pokal;
;;;2021-08-14 Arminia-Freiburg;2021-08-14 00:00:00;15:30:00;Matchweek 1;Sat;Home;D;0;0;Freiburg;0,4;1,6;45;13750;Manuel Prietl;4-1-2-1-2◆;3-4-3;Sven Jablonski;/en/matches/e4331e7c/Arminia-Freiburg-August-14-2021-Bundesliga;
;;;2021-08-21 Greuther Fürth-Arminia;2021-08-21 00:00:00;15:30:00;Matchweek 2;Sat;Away;D;1;1;Greuther Fürth;0,8;2,5;35;5890;Manuel Prietl;4-1-2-1-2◆;4-1-2-1-2;Daniel Schlager;/en/matches/976aabba/Greuther-Furth-Arminia-August-21-2021-Bundesliga;
;;;2021-08-28 Arminia-Eint Frankfurt;2021-08-28 00:00:00;15:30:00;Matchweek 3;Sat;Home;D;1;1;Eint Frankfurt;0,6;1,5;35;13750;Manuel Prietl;4-4-2;4-2-3-1;Bastian Dankert;/en/matches/af8e306b/Arminia-Eintracht-Frankfurt-August-28-2021-Bundesliga;
;;;2021-09-12 Gladbach-Arminia;2021-09-12 00:00:00;19:30:00;Matchweek 4;Sun;Away;L;1;3;Gladbach;1,8;1,7;36;24500;Manuel Prietl;4-3-3;3-4-3;Sascha Stegemann;/en/matches/7fb5657a/Monchengladbach-Arminia-September-12-2021-Bundesliga;
;;;2021-09-18 Arminia-Hoffenheim;2021-09-18 00:00:00;15:30:00;Matchweek 5;Sat;Home;D;0;0;Hoffenheim;1,1;1,1;42;13750;Manuel Prietl;4-4-2;4-2-3-1;Patrick Ittrich;/en/matches/4f2605e3/Arminia-Hoffenheim-September-18-2021-Bundesliga;
;;;2021-09-25 Union Berlin-Arminia;2021-09-25 00:00:00;15:30:00;Matchweek 6;Sat;Away;L;0;1;Union Berlin;0,5;1,2;46;11000;Manuel Prietl;4-2-2-2;3-5-2;Marco Fritz;/en/matches/7455e226/Union-Berlin-Arminia-September-25-2021-Bundesliga;
;;;2021-10-03 Arminia-Leverkusen;2021-10-03 00:00:00;19:30:00;Matchweek 7;Sun;Home;L;0;4;Leverkusen;0,4;3,1;34;16250;Manuel Prietl;4-4-2;4-2-3-1;Felix Zwayer;/en/matches/2103b5e4/Arminia-Bayer-Leverkusen-October-3-2021-Bundesliga;
;;;2021-10-17 Augsburg-Arminia;2021-10-17 00:00:00;17:30:00;Matchweek 8;Sun;Away;D;1;1;Augsburg;0,3;0,6;50;17500;Manuel Prietl;4-3-1-2;3-5-2;Robert Schröder;/en/matches/7154b5d1/Augsburg-Arminia-October-17-2021-Bundesliga;
;;;2021-10-23 Arminia-Dortmund;2021-10-23 00:00:00;15:30:00;Matchweek 9;Sat;Home;L;1;3;Dortmund;1,4;2,4;31;25000;Manuel Prietl;3-4-1-2;3-4-3;Benjamin Brand;/en/matches/d024165b/Arminia-Dortmund-October-23-2021-Bundesliga;
;;;2021-10-26 Mainz 05-Arminia;2021-10-26 00:00:00;20:45:00;Round of 32;Tue;Away;L;2;3;Mainz 05;;;41;10000;Manuel Prietl;3-4-1-2;3-5-2;Sascha Stegemann;/en/matches/02231ecc/Mainz-05-Arminia-October-26-2021-DFB-Pokal;Required Extra Time
;;;2021-10-30 Arminia-Mainz 05;2021-10-30 00:00:00;15:30:00;Matchweek 10;Sat;Home;L;1;2;Mainz 05;0,6;2,5;49;19477;Manuel Prietl;3-1-4-2;3-1-4-2;Bastian Dankert;/en/matches/f1714ccc/Arminia-Mainz-05-October-30-2021-Bundesliga;
